source_path,entry,start_x,start_y,end_x,end_y,wave_type,wave_name
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,1,1199.884765625,26.95709991455078,1200.7928466796875,27.37590789794922,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,2,1169.9097900390625,80.01121520996094,1170.723388671875,80.59261322021484,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,3,1136.090576171875,120.62651062011719,1136.8087158203125,121.32243347167969,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,4,1098.039794921875,154.0248260498047,1098.63232421875,154.83041381835938,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,5,1053.0703125,176.95748901367188,1053.3861083984375,177.9063262939453,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,6,474.7057189941406,656.3663940429688,475.701904296875,656.2789916992188,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,7,478.08673095703125,668.6839599609375,479.0841064453125,668.7562255859375,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,8,469.51611328125,703.3021240234375,470.4208984375,703.7279663085938,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,9,443.31085205078125,732.1729736328125,443.93597412109375,732.9534912109375,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,10,397.425537109375,762.770263671875,397.9178771972656,763.6406860351562,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,11,356.66448974609375,791.8123168945312,357.3243408203125,792.563720703125,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,12,320.1926574707031,825.8360595703125,320.89739990234375,826.5455322265625,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,13,281.0473327636719,890.2734375,281.986572265625,890.61669921875,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,14,292.13671875,866.612548828125,292.9816589355469,867.1473999023438,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,15,276.56207275390625,914.30810546875,277.558837890625,914.388427734375,1,Ocean
MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,16,257.40533447265625,1043.5933837890625,258.39959716796875,1043.486328125,1,Ocean
