source_path,entry,start_x,start_y,end_x,end_y,wave_type,wave_name
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,1,680.37060546875,3625.9443359375,680.0394897460938,3625.000732421875,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,2,706.03564453125,3622.25830078125,705.9655151367188,3621.2607421875,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,3,740.9471435546875,3621.591064453125,740.9888305664062,3620.592041015625,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,4,780.3746337890625,3623.229248046875,780.3093872070312,3622.2314453125,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,5,818.1474609375,3622.488525390625,818.1807250976562,3621.489013671875,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,6,850.7288818359375,3630.314453125,851.181396484375,3629.422607421875,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,7,880.35009765625,3632.6669921875,880.0465087890625,3631.714111328125,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,8,906.6185913085938,3605.01025390625,905.7169799804688,3604.577880859375,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,9,920.49853515625,3559.430419921875,919.5068359375,3559.3017578125,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,10,919.3919677734375,3516.182373046875,918.4111938476562,3516.37744140625,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,11,906.2701416015625,3477.435791015625,905.373779296875,3477.879150390625,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,12,890.5352783203125,3440.7177734375,889.575927734375,3441.0,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,13,880.063720703125,3406.8994140625,879.113525390625,3407.211181640625,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,14,869.5590209960938,3376.3017578125,868.6177978515625,3376.639404296875,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,15,861.6082153320312,3343.88916015625,860.6185913085938,3344.032958984375,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,16,2041.9921875,133.24403381347656,2041.9808349609375,134.2439727783203,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,17,2010.6046142578125,139.6073760986328,2011.0240478515625,140.5151824951172,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,18,1984.70849609375,154.07907104492188,1985.268798828125,154.90737915039062,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,19,1957.24462890625,177.60377502441406,1957.8861083984375,178.3709259033203,3,Close Ocean Double
MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,20,1934.981201171875,199.05813598632812,1935.7357177734375,199.71446228027344,3,Close Ocean Double
