source_path,entry,start_x,start_y,end_x,end_y,wave_type,wave_name
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,1,1468.335205078125,54.63043975830078,1469.1937255859375,55.143218994140625,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,2,2514.92724609375,1364.3228759765625,2514.0205078125,1364.744384765625,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,3,2501.90869140625,1322.1396484375,2500.92919921875,1322.3416748046875,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,4,2497.377197265625,1277.3514404296875,2496.37744140625,1277.333984375,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,5,2505.5,1230.92333984375,2504.55078125,1230.6090087890625,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,6,2523.4248046875,1188.2191162109375,2522.5390625,1187.7550048828125,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,7,1604.355712890625,2538.9130859375,1603.9488525390625,2537.99951171875,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,8,1555.7738037109375,2560.818359375,1555.3424072265625,2559.916259765625,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,9,1515.579345703125,2588.39599609375,1514.88623046875,2587.67529296875,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,10,288.78515625,1488.626220703125,289.6631774902344,1489.1048583984375,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,11,309.22039794921875,1446.170166015625,310.16424560546875,1446.5006103515625,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,12,320.7308654785156,1398.62353515625,321.7250671386719,1398.7310791015625,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,13,318.9814453125,1357.1075439453125,319.95452880859375,1356.877197265625,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,14,306.136962890625,1311.609130859375,307.0745544433594,1311.2613525390625,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,15,1393.8304443359375,124.11151123046875,1394.3570556640625,124.96158599853516,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,16,1433.0576171875,96.47477722167969,1433.701416015625,97.23995208740234,2,Close Ocean
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,17,2442.7919921875,2176.97314453125,2442.09033203125,2177.685546875,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,18,2475.7646484375,2216.51806640625,2474.933837890625,2217.07470703125,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,19,2493.09326171875,2257.873046875,2492.125244140625,2258.1240234375,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,20,2496.927734375,2303.40185546875,2495.92822265625,2303.371826171875,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,21,2495.337890625,2349.82861328125,2494.338623046875,2349.789794921875,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,22,2491.68212890625,2396.27294921875,2490.690185546875,2396.146240234375,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,23,2483.81787109375,2437.94140625,2482.848388671875,2437.696044921875,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,24,2466.91748046875,2475.350830078125,2466.1328125,2474.73095703125,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,25,2436.36328125,2509.09912109375,2435.618408203125,2508.43212890625,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,26,2403.776611328125,2540.20654296875,2403.095947265625,2539.473876953125,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,27,2367.705322265625,2564.983154296875,2367.23974609375,2564.09814453125,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,28,2326.34228515625,2584.04638671875,2325.9287109375,2583.135986328125,3,Close Ocean Double
MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,29,2286.47607421875,2598.257568359375,2286.163330078125,2597.3076171875,3,Close Ocean Double
