label,value_index,text,extra
GUI:GameOptions,1,GAME OPTIONS,
GUI:SinglePlayer,1,SOLO PLAY,
GUI:Network,1,NETWORK,
GUI:Options,1,OPTIONS,
GUI:Skirmish,1,SKIRMISH,
GUI:Back,1,BACK,
GUI:StartGame,1,PLAY GAME,
GUI:Color,1,Color,
GUI:Slower,1,Slower,
GUI:Faster,1,Faster,
GUI:Low,1,Low,
GUI:Medium,1,Medium,
GUI:High,1,High,
GUI:None,1,None,
GUI:Random,1,Random,
GUI:Cancel,1,CANCEL,
GUI:Ok,1,OK,
GUI:Delete,1,Remove,
GUI:Description,1,Description,
GUI:Load,1,LOAD,
GUI:Progress,1,Progress,
GUI:Assign,1,Assign,
GUI:CustomizeKeyboard,1,Customize Keyboard,
GUI:Category,1,Category,
GUI:Commands,1,Commands,
GUI:ResetAll,1,Reset All,
GUI:DisplayOptions,1,DISPLAY OPTIONS,
GUI:KeyboardOptions,1,Keyboard Options,
GUI:MainMenu,1,EXIT,
GUI:Units,1,Units,
GUI:Buildings,1,Buildings,
GUI:Players,1,Players,
GUI:Preview,1,Map Preview,
GUI:Save,1,Save,
GUI:Side,1,Army,
GUI:Accept,1,ACCEPT,
GUI:Games,1,Games,
GUI:Join,1,JOIN GAME,
GUI:LoadGame,1,LOAD GAME,
GUI:SaveGame,1,SAVE GAME,
GUI:Score,1,Score,
GUI:Add,1,Add,
GUI:MusicVolume,1,Music Volume,
GUI:VoiceVolume,1,Voice Volume,
GUI:Play,1,Play Game,
GUI:Stop,1,STOP,
GUI:Continue,1,Continue,
GUI:MaxPing,1,Max Ping Allowed:,
GUI:Ladder,1,Ladder,
GUI:Close,1,Close,
GUI:Help,1,Help,
GUI:Rank,1,Rank,
GUI:Password,1,Password,
GUI:Disconnect,1,DISCONNECT,
GUI:No,1,NO,
GUI:Yes,1,YES,
GUI:Blank,1,,
GUI:Open,1,Open,
GUI:Closed,1,Closed,
GUI:Login,1,LOGIN,
GUI:WOLWelcome,1,"Welcome to Generals Online, %hs",
GUI:QuickMatch,1,QUICKMATCH,
GUI:CustomMatch,1,CUSTOM MATCH,
GUI:LadderRank,1,Ladder Rank,
GUI:Disconnects,1,Disconnects,
GUI:CreateGame,1,CREATE GAME,
GUI:AutoLogin,1,Auto Login in the Future,
GUI:AddBuddy,1,Add Buddy,
GUI:RemoveBuddy,1,Remove Buddy,
GUI:AudioOptions,1,AUDIO OPTIONS,
GUI:LadderWins,1,Ladder Wins,
GUI:LadderLosses,1,Ladder Losses,
GUI:LadderPoints,1,Ladder Points,
WOL:BuddyOffline,1,%ls is offline,
WOL:Locale00,1,Unknown,
WOL:Locale01,1,Other Location,
WOL:Locale02,1,United States,
WOL:Locale03,1,Canada,
WOL:Locale04,1,United Kingdom,
WOL:Locale05,1,Germany,
WOL:Locale06,1,France,
WOL:Locale07,1,Spain,
WOL:Locale08,1,Netherlands,
WOL:Locale09,1,Belgium,
WOL:Locale10,1,Austria,
WOL:Locale11,1,Switzerland,
WOL:Locale12,1,Italy,
WOL:Locale13,1,Denmark,
WOL:Locale14,1,Sweden,
WOL:Locale15,1,Norway,
WOL:Locale16,1,Finland,
WOL:Locale17,1,Israel,
WOL:Locale18,1,South Africa,
WOL:Locale19,1,Japan,
WOL:Locale20,1,Korea,
WOL:Locale21,1,China,
WOL:Locale22,1,Singapore,
WOL:Locale23,1,Taiwan,
WOL:Locale24,1,Malaysia,
WOL:Locale25,1,Australia,
WOL:Locale26,1,New Zealand,
WOL:Locale27,1,Brazil,
WOL:Locale28,1,Thailand,
WOL:Locale29,1,Argentina,
WOL:Locale30,1,Philippines,
WOL:Locale31,1,Greece,
WOL:Locale32,1,Ireland,
WOL:Locale33,1,Poland,
WOL:Locale34,1,Portugal,
WOL:Locale35,1,Mexico,
WOL:Locale36,1,Russia,
WOL:Locale37,1,Turkey,
GUI:Observer,1,Observer,
GUI:Team,1,Team,
LETTER:G,1,G,
LETTER:L,1,L,
LETTER:M,1,M,
LETTER:S,1,S,
LETTER:O,1,O,
NUMBER:1,1,1,
NUMBER:2,1,2,
NUMBER:3,1,3,
NUMBER:4,1,4,
NUMBER:5,1,5,
NUMBER:6,1,6,
NUMBER:7,1,7,
NUMBER:8,1,8,
NUMBER:9,1,9,
NUMBER:0,1,0,
Color:Gold,1,Gold,
Color:Red,1,Red,
Color:Blue,1,Blue,
Color:Green,1,Green,
Color:Orange,1,Orange,
Color:SkyBlue,1,Cyan,
Color:Purple,1,Purple,
Color:Pink,1,Pink,
MSG:Testing,1,"Mary had a little lamb, it's fleece as white as snow.",
MSG:Test2,1,"And everywhere that Mary when, the lamb was sure to go.",
GUI:ShowBehindBuildings,1,Heat signature behind buildings ON,
GUI:HideBehindBuildings,1,Heat signature behind buildings OFF,
GUI:DetailsSetToLowest,1,Low graphics detail,
GUI:ReturnGraphicsToPreviousSettings,1,Setting your graphic details to their previous settings,
GUI:BeaconLabel,1,Type message:,
GUI:Beacon,1,Beacon,
GUI:EACopyright,1,© 2003 ELECTRONIC ARTS INC. ALL RIGHTS RESERVED.,
GUI:DeleteBeacon,1,"Delete 
 Beacon",
GUI:BeaconPlaced,1,A Beacon was placed by %ls.,
GUI:BeaconPlacementFailed,1,Cannot place Beacon here,
GUI:TooManyBeacons,1,"Sorry, you can't place any more Beacons",
GUI:EA,1,EA,
GUI:TestBrowser,1,Test Browser,
GUI:Multiplayer,1,MULTIPLAYER,
GUI:GameName,1,Game Name:,
