source_path,entry,start_x,start_y,end_x,end_y,wave_type,wave_name
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,1,1499.7698974609375,1733.799560546875,1499.5072021484375,1734.764404296875,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,2,1467.1776123046875,1725.748291015625,1466.932861328125,1726.7178955078125,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,3,1428.127197265625,1724.026611328125,1428.2178955078125,1725.0224609375,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,4,1461.3779296875,1192.0452880859375,1461.13037109375,1191.076416015625,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,5,1432.84521484375,1192.477294921875,1432.898193359375,1191.478759765625,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,6,1483.1180419921875,1184.6324462890625,1482.85107421875,1183.668701171875,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,7,1532.72216796875,1175.953125,1532.7364501953125,1174.9532470703125,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,8,1586.160888671875,1184.788818359375,1586.54345703125,1183.8648681640625,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,9,1627.66650390625,1210.975341796875,1628.390625,1210.28564453125,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,10,1660.763916015625,1249.17578125,1661.5489501953125,1248.556396484375,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,11,1684.859619140625,1295.211669921875,1685.8238525390625,1294.946533203125,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,12,1703.8475341796875,1334.3134765625,1704.6607666015625,1333.7315673828125,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,13,1722.7236328125,1374.4569091796875,1723.6756591796875,1374.1507568359375,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,14,1735.8160400390625,1419.3052978515625,1736.80419921875,1419.151611328125,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,15,1739.4461669921875,1456.679443359375,1740.4461669921875,1456.68896484375,1,Ocean
ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,16,1729.90234375,1498.92431640625,1730.8148193359375,1499.33349609375,1,Ocean
