source_path,entry,start_x,start_y,end_x,end_y,wave_type,wave_name
ZH_Generals\maps.big\maps\USA04\usa04.wak,1,2.5783891743576634e-43,-107.84573364257812,1366.7294921875,-107.22489166259766,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,2,1365.945556640625,-107.84573364257812,1366.7294921875,-107.22489166259766,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,3,1333.3890380859375,-75.9222640991211,1334.015869140625,-75.14313507080078,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,4,-113.86483764648438,1284.383544921875,-113.53875732421875,1285.328857421875,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,5,-69.319580078125,1270.164794921875,-69.01663208007812,1271.1177978515625,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,6,-27.59120750427246,1250.2537841796875,-26.970767974853516,1251.0380859375,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,7,9.324966430664062,1216.316162109375,9.958436965942383,1217.0899658203125,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,8,44.25910568237305,1186.758544921875,44.88340759277344,1187.5396728515625,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,9,79.32823181152344,1156.806884765625,79.94901275634766,1157.5908203125,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,10,115.55683898925781,1129.0653076171875,116.12044525146484,1129.891357421875,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,11,155.5706787109375,1103.767822265625,156.07693481445312,1104.6302490234375,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,12,193.50631713867188,1070.196533203125,194.30043029785156,1070.8043212890625,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,13,224.35391235351562,1035.2252197265625,224.98690795898438,1035.9993896484375,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,14,264.7865905761719,1008.9320068359375,265.26373291015625,1009.8108520507812,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,15,307.73248291015625,978.606689453125,308.3149108886719,979.4195556640625,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,16,343.6241455078125,947.1574096679688,344.3365173339844,947.8591918945312,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,17,375.40997314453125,914.8712158203125,376.13714599609375,915.5576782226562,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,18,408.37237548828125,881.6558837890625,409.0597229003906,882.3822021484375,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,19,443.94134521484375,850.1792602539062,444.61053466796875,850.92236328125,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,20,484.702392578125,831.4708862304688,484.95355224609375,832.4388427734375,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,21,535.787353515625,808.9129638671875,536.4437255859375,809.6673583984375,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,22,573.9771728515625,779.333251953125,574.607666015625,780.1094360351562,1,Ocean
ZH_Generals\maps.big\maps\USA04\usa04.wak,23,613.1947021484375,749.373291015625,613.775146484375,750.1876220703125,1,Ocean
