record_id,source_kind,source_container,source_path,original_rel,original_name,original_base,extension,size,offset,description,mapping_sources,taxonomy_faction,taxonomy_function,taxonomy_context,taxonomy_sequence,taxonomy_source,voice_candidate,conversion,raw_output,converted_output,final_output,transcript,transcript_confidence,transcript_accepted,status,notes
9f31d2e2ab435e67,big,310_ExpandedLANLobbyMenu.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\310_ExpandedLANLobbyMenu.big,Window\Menus\GameInfoWindow.wnd,GameInfoWindow.wnd,GameInfoWindow,.wnd,34589,102,,,Shared,Media,Game Info Window,,No single faction supported,False,none,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\310_ExpandedLANLobbyMenu.big\Window\Menus\GameInfoWindow.wnd,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\310_ExpandedLANLobbyMenu.big\Window\Menus\GameInfoWindow.wnd,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\310_ExpandedLANLobbyMenu.big\Window\Menus\GameInfoWindow.wnd,,,False,planned,
1823047c7ffec2c0,big,310_ExpandedLANLobbyMenu.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\310_ExpandedLANLobbyMenu.big,Window\Menus\LanLobbyMenu.wnd,LanLobbyMenu.wnd,LanLobbyMenu,.wnd,104040,34691,,,Shared,Media,Lan Lobby Menu,,No single faction supported,False,none,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\310_ExpandedLANLobbyMenu.big\Window\Menus\LanLobbyMenu.wnd,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\310_ExpandedLANLobbyMenu.big\Window\Menus\LanLobbyMenu.wnd,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\310_ExpandedLANLobbyMenu.big\Window\Menus\LanLobbyMenu.wnd,,,False,planned,
6aa6dc37fb649c2f,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\aangr01a.wav,aangr01a.wav,aangr01a,.wav,119026,36824,Ambient Crowd Angry Arabs 1 - 02 Sustain 01,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Ambient Crowd Angry Arabs 1,02 Sustain 01,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\aangr01a.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Ambient Crowd Angry Arabs 1 - 02 Sustain 01 - aangr01a.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Ambient Crowd Angry Arabs 1 - 02 Sustain 01 - aangr01a.mp3,,0.8202,False,planned,
2d3d1c05f65caa72,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\aangr01b.wav,aangr01b.wav,aangr01b,.wav,110242,155852,Ambient Crowd Angry Arabs 1 - 02 Sustain 02,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Ambient Crowd Angry Arabs 1,02 Sustain 02,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\aangr01b.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Ambient Crowd Angry Arabs 1 - 02 Sustain 02 - aangr01b.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Ambient Crowd Angry Arabs 1 - 02 Sustain 02 - aangr01b.mp3,English-language military unit voice line,0.7938,False,planned,
c6f1f52e19fe776b,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\aangr01c.wav,aangr01c.wav,aangr01c,.wav,189578,266096,Ambient Crowd Angry Arabs 1 - 02 Sustain 03,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Ambient Crowd Angry Arabs 1,02 Sustain 03,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\aangr01c.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Ambient Crowd Angry Arabs 1 - 02 Sustain 03 - aangr01c.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Ambient Crowd Angry Arabs 1 - 02 Sustain 03 - aangr01c.mp3,English-language military unit voice line,0.8167,False,planned,
2743ab19a3f1ca91,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\aangr01d.wav,aangr01d.wav,aangr01d,.wav,127178,455676,Ambient Crowd Angry Arabs 1 - 02 Sustain 04,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Ambient Crowd Angry Arabs 1,02 Sustain 04,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\aangr01d.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Ambient Crowd Angry Arabs 1 - 02 Sustain 04 - aangr01d.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Ambient Crowd Angry Arabs 1 - 02 Sustain 04 - aangr01d.mp3,English-language military unit voice line,0.8448,False,planned,
4085baba66f15c91,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\aangr01e.wav,aangr01e.wav,aangr01e,.wav,54600,582856,,,Shared,Sound Effect,aangr 01 e,,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\aangr01e.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Sound Effect - aangr 01 e - aangr01e.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Sound Effect - aangr 01 e - aangr01e.mp3,English-language military unit voice line,0.8231,False,planned,
0b8b7cbd09773ef4,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmmu1a.wav,addmmu1a.wav,addmmu1a,.wav,246852,637456,Amb Desert Market Walla Music Loop - 01,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Music Loop,01,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmmu1a.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 01 - addmmu1a.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 01 - addmmu1a.mp3,English-language military unit voice line,0.8312,False,planned,
1bf4c90d9dd1be24,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmmu1b.wav,addmmu1b.wav,addmmu1b,.wav,213726,884308,Amb Desert Market Walla Music Loop - 02,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Music Loop,02,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmmu1b.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 02 - addmmu1b.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 02 - addmmu1b.mp3,English-language military unit voice line,0.8342,False,planned,
d2343826c5217b4e,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmmu1c.wav,addmmu1c.wav,addmmu1c,.wav,175078,1098036,Amb Desert Market Walla Music Loop - 03,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Music Loop,03,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmmu1c.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 03 - addmmu1c.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 03 - addmmu1c.mp3,English-language military unit voice line. English-language military unit voice line,0.8133,False,planned,
