operation,category,source_relative,target_relative,bytes,sha256,reason,recovery
create-derivative,wak,MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,MapsZH.big\Maps\Bombardment Beach\bombardment beach - Wave Definitions.csv,12600,284320674ac4a587b8da27e3bcd6c01cccbb946cc32c9d71a550bb7dcee24a7d,,
create-derivative,wak,MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,MapsZH.big\Maps\Bombardment Beach\bombardment beach - Wave Diagram.png,43828,095ba79626187b99a4ecc4a61ca039d13b5ce1c04b10dfe9d09541ab43ba37f4,,
create-derivative,wak,MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,MapsZH.big\Maps\Bombardment Beach\bombardment beach - Wave Diagram.svg,23386,4503c801398d61a5f3301cf49d989a096334be334bfd8adee002de4930bbfcf5,,
create-derivative,wak,MapsZH.big\Maps\Flash Fire\flash fire.wak,MapsZH.big\Maps\Flash Fire\flash fire - Wave Definitions.csv,19169,33d5b974f2d950f1683a6f315891ae2b3c00039bd68d01bfbfc756e2f7f1ecde,,
create-derivative,wak,MapsZH.big\Maps\Flash Fire\flash fire.wak,MapsZH.big\Maps\Flash Fire\flash fire - Wave Diagram.png,42216,260bf973ce278bfdd451d3cb30c23015978f0a5d36778b918141044db2c04caf,,
create-derivative,wak,MapsZH.big\Maps\Flash Fire\flash fire.wak,MapsZH.big\Maps\Flash Fire\flash fire - Wave Diagram.svg,36913,67742194ea689f930ec498bd22299f686d186fc41e1b777e12bc947353962287,,
create-derivative,wak,MapsZH.big\Maps\GC_Stealth\gc_stealth.wak,MapsZH.big\Maps\GC_Stealth\gc_stealth - Wave Definitions.csv,561,a4c7bd9e48b0ffe103fba3dc7e3ea08d49c55a598d95469727f3d77311e19110,,
create-derivative,wak,MapsZH.big\Maps\GC_Stealth\gc_stealth.wak,MapsZH.big\Maps\GC_Stealth\gc_stealth - Wave Diagram.png,39507,a0fc91aa75ca4df7e70732d0811fa1e2145d53a9cb50dd6f1c118901d3195e38,,
create-derivative,wak,MapsZH.big\Maps\GC_Stealth\gc_stealth.wak,MapsZH.big\Maps\GC_Stealth\gc_stealth - Wave Diagram.svg,4919,6ca0d02366e7bd19cc2cd58fdc49cd13108a84947db96d263c9707153c2d1e67,,
create-derivative,wak,MapsZH.big\Maps\GC_SuperWeaponsGeneral\gc_superweaponsgeneral.wak,MapsZH.big\Maps\GC_SuperWeaponsGeneral\gc_superweaponsgeneral - Wave Definitions.csv,17961,004619c7e65e3dff6debb1d8c697a2e160f62ea29522182bb333d2c6770ac3a0,,
create-derivative,wak,MapsZH.big\Maps\GC_SuperWeaponsGeneral\gc_superweaponsgeneral.wak,MapsZH.big\Maps\GC_SuperWeaponsGeneral\gc_superweaponsgeneral - Wave Diagram.png,47290,256f44095d39134e755a242992490200676f6fbfea1d2f37533f9240d5223aa0,,
create-derivative,wak,MapsZH.big\Maps\GC_SuperWeaponsGeneral\gc_superweaponsgeneral.wak,MapsZH.big\Maps\GC_SuperWeaponsGeneral\gc_superweaponsgeneral - Wave Diagram.svg,29269,786e2c12c483b7277e58e77167c43ec25d0002b8821c17eecac3cccdb48ef1e4,,
create-derivative,wak,MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands - Wave Definitions.csv,4545,444cc42c76133339eda135b70628f7769fba927b5136c0e93f1e5c24ffabd22c,,
create-derivative,wak,MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands - Wave Diagram.png,44028,7c7fc35299ccf1fb9e3ada5cc8714028e28f948804fc8411409a8930dff26017,,
create-derivative,wak,MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands - Wave Diagram.svg,10845,72ee92301ffa4b2d3946a9acb0aa4b3915e7f657f57ce2330aeca6afe1136f07,,
create-derivative,wak,MapsZH.big\Maps\MD_CHI02\md_chi02.wak,MapsZH.big\Maps\MD_CHI02\md_chi02 - Wave Definitions.csv,6426,db6a90187a1e68f23ee69d58c0eed3179cf0c4b7102683abed9e6c6953aaa256,,
create-derivative,wak,MapsZH.big\Maps\MD_CHI02\md_chi02.wak,MapsZH.big\Maps\MD_CHI02\md_chi02 - Wave Diagram.png,43808,ad7087be5dee6de91bb91a94bc5ae5f971590b5590472a3a24e64031c79b72d5,,
create-derivative,wak,MapsZH.big\Maps\MD_CHI02\md_chi02.wak,MapsZH.big\Maps\MD_CHI02\md_chi02 - Wave Diagram.svg,15228,2f3df4c76b9f621bc46fef7ff03e192fd9f21952a5a5ab2ccf8add97f217a4b2,,
create-derivative,wak,MapsZH.big\Maps\MD_CHI03\md_chi03.wak,MapsZH.big\Maps\MD_CHI03\md_chi03 - Wave Definitions.csv,5404,d6ac1da47a191f601342b515b7fa446c802cda5531fcf2c441a0a8444dcb6976,,
create-derivative,wak,MapsZH.big\Maps\MD_CHI03\md_chi03.wak,MapsZH.big\Maps\MD_CHI03\md_chi03 - Wave Diagram.png,42594,7b659eec48043d6cb79033c9aa11bb6d8316997f9dd0d18fe7667cc53b4d090a,,
create-derivative,wak,MapsZH.big\Maps\MD_CHI03\md_chi03.wak,MapsZH.big\Maps\MD_CHI03\md_chi03 - Wave Diagram.svg,13011,205b269c741cde40f684974bcd0ccd201ddc8874e3541457b03202b20161fdbb,,
create-derivative,wak,MapsZH.big\Maps\MD_GLA03\md_gla03.wak,MapsZH.big\Maps\MD_GLA03\md_gla03 - Wave Definitions.csv,13114,cbb9433457686b9d119e67771bf18ac421003365a5e74b4ff3ef746f47a0bd4e,,
create-derivative,wak,MapsZH.big\Maps\MD_GLA03\md_gla03.wak,MapsZH.big\Maps\MD_GLA03\md_gla03 - Wave Diagram.png,44866,f2b52b6b9ee134a29aa7d445b8e8e048a8f76d70cee98aaf7888979547573bd1,,
create-derivative,wak,MapsZH.big\Maps\MD_GLA03\md_gla03.wak,MapsZH.big\Maps\MD_GLA03\md_gla03 - Wave Diagram.svg,26031,707dc0b3070d5d32ed02fcfae5b4ba5f31c48949f2b245694c0c08905d3c5a7d,,
