production_number,case,source_cases,physical_number,source_path_relative,recommended_format,source_media,source_bytes,sha256,target_directory,target_media,preflight_state
1,05810--nvconstdoz-a--22177a25,05810--nvconstdoz-a--22177a25,1,"ZH_Generals\W3D.big\Art\W3D\China Vehicle Dozer, Infa China Vehicle Dozer, Nuke China Vehicle Dozer, Tank China Vehicle Dozer - nvconstdoz_A.w3d",mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05810--nvconstdoz-a--22177a25\China - Armor - Dozer - nvconstdoz_A.mp4,38566,df5d6f86f532364733ce4e0de88996c90f8cf831e150b191096f1c5f336d7774,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Armor - Dozer - nvconstdoz_A.mp4,new
2,06522--nvconstdoz-ad--feb4bd53,06522--nvconstdoz-ad--feb4bd53,1,ZH_Generals\W3D.big\Art\W3D\nvconstdoz_AD.w3d,mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06522--nvconstdoz-ad--feb4bd53\China - Armor - Dozer - nvconstdoz_AD.mp4,38350,a317259ea05707f8d4f6b7b195d99aa1582bb14575d4392505784fff6fdc1aec,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Armor - Dozer - nvconstdoz_AD.mp4,new
3,04214--nvgatttank--c5f4a7c2,04214--nvgatttank--c5f4a7c2,1,"ZH_Generals\W3D.big\Art\W3D\Boss Tank Gattling, China Tank Gattling, Infa China Tank Gattling, Nuke China Tank Gattling, Tank China Tank Gattling - NVGattTank.w3d",mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04214--nvgatttank--c5f4a7c2\China - Armor - Gattling - NVGattTank.mp4,26607,d991f96da9c3348115205bf9b1d42dc789bc6630ace12b919eb0ef9e75c9f7e6,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Armor - Gattling - NVGattTank.mp4,new
4,06529--nvgatttank-d--3334b54c,06529--nvgatttank-d--3334b54c,1,ZH_Generals\W3D.big\Art\W3D\NVGattTank_d.w3d,mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06529--nvgatttank-d--3334b54c\China - Armor - Gattling - NVGattTank_d.mp4,24084,2ca0ef1855082a7b9eaa58a29db419fa301ddd783c2eb6652ea15375c77b76bd,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Armor - Gattling - NVGattTank_d.mp4,new
5,04215--nvovrlrd--5f21e029,04215--nvovrlrd--5f21e029,1,"ZH_Generals\W3D.big\Art\W3D\Boss Tank Overlord, China Tank Overlord, CINE China Tank Overlord, Nuke China Tank Overlord - NVOvrlrd.w3d",gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04215--nvovrlrd--5f21e029\China - Armor - Overlord Tank - NVOvrlrd.gif,39080,fe54779dd5234c93baf952ecc89668a7d7cb8ae3ac71b622c1ac2a3ede341b15,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Armor - Overlord Tank - NVOvrlrd.gif,new
6,05795--nvcargopln--b0556824,05795--nvcargopln--b0556824,1,"ZH_Generals\W3D.big\Art\W3D\China Jet Cargo Plane, Infa China Jet Cargo Plane, Nuke China Jet Cargo Plane, Tank China Jet Cargo Plane - NVCargoPln.w3d",gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05795--nvcargopln--b0556824\China - Aviation - Cargo Plane - NVCargoPln.gif,85328,68a16963cf032ce08ed5e8327ea24d39883a089a32c88866667d79eb26d8334d,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Aviation - Cargo Plane - NVCargoPln.gif,new
7,06520--nvcargopln-d--a5bc62a2,06520--nvcargopln-d--a5bc62a2,1,ZH_Generals\W3D.big\Art\W3D\NVCargoPln_d.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06520--nvcargopln-d--a5bc62a2\China - Aviation - Cargo Plane - NVCargoPln_d.gif,88017,0b38e1f1a7c760f8690230a946269c870ae6bb8db0b068df93ff3bce60879d28,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Aviation - Cargo Plane - NVCargoPln_d.gif,new
8,00289--nvhelix--20fa9ead,00289--nvhelix--20fa9ead,1,"W3DZH.big\Art\W3D\Boss Vehicle Helix, China Vehicle Helix, Infa China Vehicle Helix, Nuke China Vehicle Helix, Tank China Vehicle Helix - NVHelix.w3d",mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00289--nvhelix--20fa9ead\China - Aviation - Helix Helicopter - NVHelix.mp4,10232,e2ffa8eb3a952f5f8348e23831e3b4d339ad50fcce1a505f655664bfdd5cee4f,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\China - Aviation - Helix Helicopter - NVHelix.mp4,new
9,02834--nvhelixng--64f3478f,02834--nvhelixng--64f3478f,1,W3DZH.big\Art\W3D\NVHelixNG.w3d,mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02834--nvhelixng--64f3478f\China - Aviation - Helix NG - NVHelixNG.mp4,10376,f000c037ddc807366b6466781afa6699a0199dad2bbf4ea4dc9539a2d3bf4f32,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\China - Aviation - Helix NG - NVHelixNG.mp4,new
10,02678--nbconyardin--d9a0f898,02678--nbconyardin--d9a0f898,1,W3DZH.big\Art\W3D\NBConYardIN.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02678--nbconyardin--d9a0f898\China - Base Building - Con Yard IN - NBConYardIN.gif,109678,34c49d5ea8e1aba340e43735457b34b974869dfc44b510465924e9a4ed5ff856,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\China - Base Building - Con Yard IN - NBConYardIN.gif,new
