production_number,case,source_path_relative,faction_or_context,functional_family,descriptive_asset_name,canonical_stem,rendered_format,review_decision,recommended_format,review_notes,rendered_media,recommended_media,reused_reviewed_pilot
1,05810--nvconstdoz-a--22177a25,"ZH_Generals\W3D.big\Art\W3D\China Vehicle Dozer, Infa China Vehicle Dozer, Nuke China Vehicle Dozer, Tank China Vehicle Dozer - nvconstdoz_A.w3d",China,Armor,Dozer,nvconstdoz_A,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05810--nvconstdoz-a--22177a25\China - Armor - Dozer - nvconstdoz_A.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05810--nvconstdoz-a--22177a25\China - Armor - Dozer - nvconstdoz_A.mp4,True
2,06522--nvconstdoz-ad--feb4bd53,ZH_Generals\W3D.big\Art\W3D\nvconstdoz_AD.w3d,China,Armor,Dozer,nvconstdoz_AD,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06522--nvconstdoz-ad--feb4bd53\China - Armor - Dozer - nvconstdoz_AD.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06522--nvconstdoz-ad--feb4bd53\China - Armor - Dozer - nvconstdoz_AD.mp4,True
3,04214--nvgatttank--c5f4a7c2,"ZH_Generals\W3D.big\Art\W3D\Boss Tank Gattling, China Tank Gattling, Infa China Tank Gattling, Nuke China Tank Gattling, Tank China Tank Gattling - NVGattTank.w3d",China,Armor,Gattling,NVGattTank,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04214--nvgatttank--c5f4a7c2\China - Armor - Gattling - NVGattTank.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04214--nvgatttank--c5f4a7c2\China - Armor - Gattling - NVGattTank.mp4,True
4,06529--nvgatttank-d--3334b54c,ZH_Generals\W3D.big\Art\W3D\NVGattTank_d.w3d,China,Armor,Gattling,NVGattTank_d,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06529--nvgatttank-d--3334b54c\China - Armor - Gattling - NVGattTank_d.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06529--nvgatttank-d--3334b54c\China - Armor - Gattling - NVGattTank_d.mp4,True
5,04215--nvovrlrd--5f21e029,"ZH_Generals\W3D.big\Art\W3D\Boss Tank Overlord, China Tank Overlord, CINE China Tank Overlord, Nuke China Tank Overlord - NVOvrlrd.w3d",China,Armor,Overlord Tank,NVOvrlrd,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04215--nvovrlrd--5f21e029\China - Armor - Overlord Tank - NVOvrlrd.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04215--nvovrlrd--5f21e029\China - Armor - Overlord Tank - NVOvrlrd.gif,True
6,05795--nvcargopln--b0556824,"ZH_Generals\W3D.big\Art\W3D\China Jet Cargo Plane, Infa China Jet Cargo Plane, Nuke China Jet Cargo Plane, Tank China Jet Cargo Plane - NVCargoPln.w3d",China,Aviation,Cargo Plane,NVCargoPln,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05795--nvcargopln--b0556824\China - Aviation - Cargo Plane - NVCargoPln.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05795--nvcargopln--b0556824\China - Aviation - Cargo Plane - NVCargoPln.gif,True
7,06520--nvcargopln-d--a5bc62a2,ZH_Generals\W3D.big\Art\W3D\NVCargoPln_d.w3d,China,Aviation,Cargo Plane,NVCargoPln_d,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06520--nvcargopln-d--a5bc62a2\China - Aviation - Cargo Plane - NVCargoPln_d.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06520--nvcargopln-d--a5bc62a2\China - Aviation - Cargo Plane - NVCargoPln_d.gif,True
8,00289--nvhelix--20fa9ead,"W3DZH.big\Art\W3D\Boss Vehicle Helix, China Vehicle Helix, Infa China Vehicle Helix, Nuke China Vehicle Helix, Tank China Vehicle Helix - NVHelix.w3d",China,Aviation,Helix Helicopter,NVHelix,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00289--nvhelix--20fa9ead\China - Aviation - Helix Helicopter - NVHelix.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00289--nvhelix--20fa9ead\China - Aviation - Helix Helicopter - NVHelix.mp4,True
9,02834--nvhelixng--64f3478f,W3DZH.big\Art\W3D\NVHelixNG.w3d,China,Aviation,Helix NG,NVHelixNG,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02834--nvhelixng--64f3478f\China - Aviation - Helix NG - NVHelixNG.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02834--nvhelixng--64f3478f\China - Aviation - Helix NG - NVHelixNG.mp4,True
10,02678--nbconyardin--d9a0f898,W3DZH.big\Art\W3D\NBConYardIN.w3d,China,Base Building,Con Yard IN,NBConYardIN,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02678--nbconyardin--d9a0f898\China - Base Building - Con Yard IN - NBConYardIN.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02678--nbconyardin--d9a0f898\China - Base Building - Con Yard IN - NBConYardIN.gif,True
