case,source_path_relative,faction_or_context,functional_family,descriptive_asset_name,canonical_stem,conversion_status,automatic_image_gate,final_decision,final_decision_reason,glb_round_trip_valid,glb,contact_sheet
00001--avavnger--6770b8ad,"PatchZH.big\Art\W3D\Air F America Tank Avenger, America Tank Avenger, Boss Tank Avenger, Lazr America Tank Avenger, Sup W America Tank Avenger - AVAvnger.w3d",USA,Armor,Avenger,AVAvnger,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00001--avavnger--6770b8ad\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00001--avavnger--6770b8ad\four-view.png
00002--avavnger-d--6ca38353,PatchZH.big\Art\W3D\AVAvnger_D.w3d,USA,Armor,Avenger,AVAvnger_D,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00002--avavnger-d--6ca38353\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00002--avavnger-d--6ca38353\four-view.png
00003--abbarracks-ac--923e083a,W3DZH.big\Art\W3D\ABBarracks_AC.w3d,USA,Production Building,Barracks,ABBarracks_AC,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00003--abbarracks-ac--923e083a\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00003--abbarracks-ac--923e083a\four-view.png
00004--abbarracks-acd--62d3b0c4,W3DZH.big\Art\W3D\ABBarracks_ACD.w3d,USA,Production Building,Barracks,ABBarracks_ACD,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00004--abbarracks-acd--62d3b0c4\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00004--abbarracks-acd--62d3b0c4\four-view.png
00005--abbarracks-ace--b6b32ea7,W3DZH.big\Art\W3D\ABBarracks_ACE.w3d,USA,Production Building,Barracks,ABBarracks_ACE,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00005--abbarracks-ace--b6b32ea7\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00005--abbarracks-ace--b6b32ea7\four-view.png
00006--abbarracks-fa--ea1b71bf,W3DZH.big\Art\W3D\ABBarracks_FA.w3d,USA,Production Building,Barracks,ABBarracks_FA,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00006--abbarracks-fa--ea1b71bf\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00006--abbarracks-fa--ea1b71bf\four-view.png
00007--abbarracks-fs--2bbd82c2,W3DZH.big\Art\W3D\ABBarracks_FS.w3d,USA,Production Building,Barracks,ABBarracks_FS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00007--abbarracks-fs--2bbd82c2\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00007--abbarracks-fs--2bbd82c2\four-view.png
00008--abbarracks-ft--4a1bb849,W3DZH.big\Art\W3D\ABBarracks_FT.w3d,USA,Production Building,Barracks,ABBarracks_FT,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00008--abbarracks-ft--4a1bb849\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00008--abbarracks-ft--4a1bb849\four-view.png
00009--abbtcmdafg--b8426f4f,W3DZH.big\Art\W3D\ABBtCmdAFG.w3d,USA,Base Building,Bt Cmd AFG,ABBtCmdAFG,rendered,needs-review,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00009--abbtcmdafg--b8426f4f\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00009--abbtcmdafg--b8426f4f\four-view.png
00010--abbtcmdhqa-d--c3c57ce6,W3DZH.big\Art\W3D\ABBtCmdHQA_D.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_D,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00010--abbtcmdhqa-d--c3c57ce6\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00010--abbtcmdhqa-d--c3c57ce6\four-view.png
