review_number,case,source_path_relative,group,decision,decision_reason,contact_sheet,review_method
1,00009--abbtcmdafg--b8426f4f,W3DZH.big\Art\W3D\ABBtCmdAFG.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00009--abbtcmdafg--b8426f4f\four-view.png,Manual four-view visual inspection
2,00043--abbtcmdrlg--b19a9bb2,W3DZH.big\Art\W3D\AbbtCmdrLG.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00043--abbtcmdrlg--b19a9bb2\four-view.png,Manual four-view visual inspection
3,00094--abrailgun--807b9e6b,W3DZH.big\Art\W3D\ABRailGun.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00094--abrailgun--807b9e6b\four-view.png,Manual four-view visual inspection
4,00109--absendrone--88601b77,W3DZH.big\Art\W3D\ABSENDRONE.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00109--absendrone--88601b77\four-view.png,Manual four-view visual inspection
5,00127--abwarfact-e--28784840,W3DZH.big\Art\W3D\ABWarFact_E.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00127--abwarfact-e--28784840\four-view.png,Manual four-view visual inspection
6,00228--avhelldrone-d3--5ba19ca9,W3DZH.big\Art\W3D\AVHellDrone_D3.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00228--avhelldrone-d3--5ba19ca9\four-view.png,Manual four-view visual inspection
7,00234--avmoutpost--b857448f,W3DZH.big\Art\W3D\AVMOutpost.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00234--avmoutpost--b857448f\four-view.png,Manual four-view visual inspection
8,00249--avrepdrone--d6f13b2e,W3DZH.big\Art\W3D\AVRepDrone.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00249--avrepdrone--d6f13b2e\four-view.png,Manual four-view visual inspection
9,00263--avsniperd--a852fd83,W3DZH.big\Art\W3D\AVSniperD.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00263--avsniperd--a852fd83\four-view.png,Manual four-view visual inspection
10,00268--avstldrone--56f29d9b,W3DZH.big\Art\W3D\AVStlDrone.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00268--avstldrone--56f29d9b\four-view.png,Manual four-view visual inspection
11,00271--avtbd--be9eb410,W3DZH.big\Art\W3D\AVTBD.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00271--avtbd--be9eb410\four-view.png,Manual four-view visual inspection
12,00717--cbgenrbbl01--c1cdaa75,W3DZH.big\Art\W3D\CBGenRbbl01.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00717--cbgenrbbl01--c1cdaa75\four-view.png,Manual four-view visual inspection
13,00998--cbmogdis01-s--3a00f5f5,W3DZH.big\Art\W3D\CBMogdis01_s.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00998--cbmogdis01-s--3a00f5f5\four-view.png,Manual four-view visual inspection
14,01701--cbtaltower-dn--1f02b326,W3DZH.big\Art\W3D\CBTalTower_DN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01701--cbtaltower-dn--1f02b326\four-view.png,Manual four-view visual inspection
15,01702--cbtaltower-dng--5e0b3d0c,W3DZH.big\Art\W3D\CBTalTower_DNG.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01702--cbtaltower-dng--5e0b3d0c\four-view.png,Manual four-view visual inspection
16,01703--cbtaltower-n--825b8227,W3DZH.big\Art\W3D\CBTalTower_N.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01703--cbtaltower-n--825b8227\four-view.png,Manual four-view visual inspection
17,01704--cbtaltower-ng--07b8c892,W3DZH.big\Art\W3D\CBTalTower_NG.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01704--cbtaltower-ng--07b8c892\four-view.png,Manual four-view visual inspection
18,01711--cbtaprtmn1-rsn--00484a4b,W3DZH.big\Art\W3D\CBTAprtmn1_RSN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01711--cbtaprtmn1-rsn--00484a4b\four-view.png,Manual four-view visual inspection
19,01721--cbtaprtmn2-trd--49bddb72,W3DZH.big\Art\W3D\CBTAprtmn2_TRD.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01721--cbtaprtmn2-trd--49bddb72\four-view.png,Manual four-view visual inspection
20,01726--cbtconvst1-ds01--5d77d560,W3DZH.big\Art\W3D\CBTConvSt1_ds01.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01726--cbtconvst1-ds01--5d77d560\four-view.png,Manual four-view visual inspection
21,01976--cbthouse17-gs--ee08bf71,W3DZH.big\Art\W3D\cbthouse17_GS.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01976--cbthouse17-gs--ee08bf71\four-view.png,Manual four-view visual inspection
22,02004--cbtoutpost-rn--46ec547b,W3DZH.big\Art\W3D\CBTOutpost_rn.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02004--cbtoutpost-rn--46ec547b\four-view.png,Manual four-view visual inspection
23,02063--cbtower05-en--2368f406,W3DZH.big\Art\W3D\CBTower05_EN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02063--cbtower05-en--2368f406\four-view.png,Manual four-view visual inspection
24,02110--cbtrestrn2-df--86c0183f,W3DZH.big\Art\W3D\CBTRestrn2_df.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02110--cbtrestrn2-df--86c0183f\four-view.png,Manual four-view visual inspection
25,02168--cbtsmlrtl2-esn--8e305e77,W3DZH.big\Art\W3D\CBTsmlrtl2_ESN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02168--cbtsmlrtl2-esn--8e305e77\four-view.png,Manual four-view visual inspection
26,02172--cbtsvtofc1-ds--c92c23e7,W3DZH.big\Art\W3D\CBTSvtOfc1_ds.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02172--cbtsvtofc1-ds--c92c23e7\four-view.png,Manual four-view visual inspection
27,02220--cbttent02-en--f7f3ea2e,W3DZH.big\Art\W3D\CBTTent02_EN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02220--cbttent02-en--f7f3ea2e\four-view.png,Manual four-view visual inspection
28,02285--cbwfrwhrs2-rsn--53e3c479,W3DZH.big\Art\W3D\CBWFrWhrs2_RSN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02285--cbwfrwhrs2-rsn--53e3c479\four-view.png,Manual four-view visual inspection
29,02600--pmgrruin3--96d78de4,W3DZH.big\Art\W3D\Greek Ruin 03 - PMGRRUIN3.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02600--pmgrruin3--96d78de4\four-view.png,Manual four-view visual inspection
30,02602--cbgreshop--33fa06cb,W3DZH.big\Art\W3D\Greek Shop - CBGRESHOP.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02602--cbgreshop--33fa06cb\four-view.png,Manual four-view visual inspection
31,02637--nbanittgun--20dcc0ed,W3DZH.big\Art\W3D\NBAnitTGun.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02637--nbanittgun--20dcc0ed\four-view.png,Manual four-view visual inspection
32,02703--nbfirestrm--aaa3c72b,W3DZH.big\Art\W3D\NBFireStrm.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02703--nbfirestrm--aaa3c72b\four-view.png,Manual four-view visual inspection
33,02704--nbfturret--417fa2c5,W3DZH.big\Art\W3D\NBFTurret.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02704--nbfturret--417fa2c5\four-view.png,Manual four-view visual inspection
34,02710--nbghowitzr--bfaf6417,W3DZH.big\Art\W3D\NBGHowitzr.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02710--nbghowitzr--bfaf6417\four-view.png,Manual four-view visual inspection
35,02711--nbgtower--19042d5a,W3DZH.big\Art\W3D\NBGTower.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02711--nbgtower--19042d5a\four-view.png,Manual four-view visual inspection
36,02780--nbnreactr--cda7ade6,W3DZH.big\Art\W3D\NBNReactr.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02780--nbnreactr--cda7ade6\four-view.png,Manual four-view visual inspection
37,02781--nbpalace--e18cfb45,W3DZH.big\Art\W3D\NBPalace.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02781--nbpalace--e18cfb45\four-view.png,Manual four-view visual inspection
38,02801--nbwall02y-ds--90cbe76e,W3DZH.big\Art\W3D\NBWall02Y_DS.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02801--nbwall02y-ds--90cbe76e\four-view.png,Manual four-view visual inspection
39,02814--nvbrglayer--3fcf0df9,W3DZH.big\Art\W3D\NVBrgLayer.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02814--nvbrglayer--3fcf0df9\four-view.png,Manual four-view visual inspection
40,02849--nvmoutpost--f3dec1e5,W3DZH.big\Art\W3D\NVMOutpost.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02849--nvmoutpost--f3dec1e5\four-view.png,Manual four-view visual inspection
41,02876--nvtbd--4ffaeb17,W3DZH.big\Art\W3D\NVTBD.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02876--nvtbd--4ffaeb17\four-view.png,Manual four-view visual inspection
42,02878--nvthowtzr--8f9adcbe,W3DZH.big\Art\W3D\NVTHowtzr.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02878--nvthowtzr--8f9adcbe\four-view.png,Manual four-view visual inspection
43,02879--nvvtank--4334e0e8,W3DZH.big\Art\W3D\NVVTank.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02879--nvvtank--4334e0e8\four-view.png,Manual four-view visual inspection
44,02880--nvwartank--3ecf3f9b,W3DZH.big\Art\W3D\NVWarTank.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02880--nvwartank--3ecf3f9b\four-view.png,Manual four-view visual inspection
45,02927--pmconbar01--8829bd83,W3DZH.big\Art\W3D\PMCONBAR01.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02927--pmconbar01--8829bd83\four-view.png,Manual four-view visual inspection
